mode,rep,client,server,stream_idx,gbps
per-pair,2,srv03,st03,8,13.8528011842801
per-pair,3,srv03,st03,1,17.764144867788414
per-pair,3,srv03,st03,2,12.561917354464473
per-pair,3,srv03,st03,3,13.015158766926136
per-pair,3,srv03,st03,4,12.972080298381004
per-pair,3,srv03,st03,5,12.405987279172816
per-pair,3,srv03,st03,6,13.244007669805853
per-pair,3,srv03,st03,7,13.919457085330944
per-pair,3,srv03,st03,8,13.619655410729834
per-pair,1,srv03,st04,1,12.718408346084601
per-pair,1,srv03,st04,2,19.432739674129216
per-pair,1,srv03,st04,3,12.705668201724045
per-pair,1,srv03,st04,4,13.76713281507831
per-pair,1,srv03,st04,5,14.167512386134963
per-pair,1,srv03,st04,6,13.295668830871376
per-pair,1,srv03,st04,7,19.34697525924661
per-pair,1,srv03,st04,8,12.81363175017866
per-pair,2,srv03,st04,1,14.35743353322842
per-pair,2,srv03,st04,2,11.853511455379069
per-pair,2,srv03,st04,3,15.387776649941115
per-pair,2,srv03,st04,4,12.66536049047873
per-pair,2,srv03,st04,5,13.496476850111751
per-pair,2,srv03,st04,6,13.783083763805315
per-pair,2,srv03,st04,7,12.660641962021577
per-pair,2,srv03,st04,8,13.065605297848656
per-pair,3,srv03,st04,1,11.48447083848115
per-pair,3,srv03,st04,2,12.935856437214872
per-pair,3,srv03,st04,3,12.21606180328537
per-pair,3,srv03,st04,4,12.583626735318687
per-pair,3,srv03,st04,5,13.812848102578569
per-pair,3,srv03,st04,6,12.777261322121452
per-pair,3,srv03,st04,7,16.467459450533447
per-pair,3,srv03,st04,8,11.495568127526255
per-pair,1,srv03,st05,1,12.690449487916041
per-pair,1,srv03,st05,2,14.64593169121126
per-pair,1,srv03,st05,3,16.705352680011625
per-pair,1,srv03,st05,4,12.570607500257099
per-pair,1,srv03,st05,5,13.985249759975943
per-pair,1,srv03,st05,6,13.744036630604814
per-pair,1,srv03,st05,7,14.664412610197672
per-pair,1,srv03,st05,8,12.847996045516526
per-pair,2,srv03,st05,1,12.320564339341766
per-pair,2,srv03,st05,2,12.974107326217668
