client,server,condition,repetition,n_pings,mean_ms,std_ms,min_ms,max_ms,p50_ms,p95_ms,p99_ms,mdev_ms,packet_loss
srv02,st07,100pct,3,500,0.04448599999999999,0.012935860116509757,0.027,0.14,0.041,0.068,0.08901999999999997,0.012,0.0
srv02,st08,idle,1,500,0.047778,0.010319967027024736,0.026,0.103,0.047,0.065,0.07201999999999997,0.01,0.0
srv02,st08,idle,2,500,0.047022,0.011019272422871618,0.028,0.226,0.046,0.058,0.064,0.011,0.0
srv02,st08,idle,3,500,0.048824000000000006,0.013522527185514024,0.029,0.236,0.047,0.067,0.07904999999999995,0.013,0.0
srv02,st08,50pct,1,500,0.04193199999999999,0.013394109912970008,0.028,0.157,0.038,0.06605000000000003,0.09201,0.013,0.0
srv02,st08,50pct,2,500,0.042877999999999986,0.014519115863264601,0.026,0.133,0.039,0.07005000000000002,0.10201999999999997,0.014,0.0
srv02,st08,50pct,3,500,0.047276,0.027840294322724963,0.026,0.393,0.04,0.084,0.15600999999999998,0.027,0.0
srv02,st08,100pct,1,500,0.06537400000000002,0.05520700817380893,0.027,0.973,0.052,0.12305,0.22336999999999965,0.055,0.0
srv02,st08,100pct,2,500,0.11280200000000001,0.2142432896740075,0.027,1.68,0.0565,0.3501,1.4902999999999997,0.214,0.0
srv02,st08,100pct,3,500,0.055706,0.04407944599377624,0.027,0.787,0.047,0.10305,0.18915999999999986,0.044,0.0
srv03,st01,idle,1,500,0.054447999999999996,0.016110070289401562,0.029,0.179,0.05,0.091,0.102,0.016,0.0
srv03,st01,idle,2,500,0.05791599999999999,0.01689567612566857,0.027,0.12,0.0545,0.091,0.103,0.016,0.0
srv03,st01,idle,3,500,0.050811999999999996,0.015122103425914269,0.03,0.117,0.048,0.082,0.10401999999999997,0.015,0.0
srv03,st01,50pct,1,500,0.03824,0.012644293428761657,0.025,0.16,0.036,0.05805000000000001,0.08813999999999987,0.012,0.0
srv03,st01,50pct,2,500,0.04529999999999999,0.014484253076163389,0.027,0.147,0.042,0.07505,0.09302999999999997,0.014,0.0
srv03,st01,50pct,3,500,0.03933,0.00954522512281877,0.028,0.117,0.0365,0.056100000000000025,0.06805999999999995,0.009,0.0
srv03,st01,100pct,1,500,0.05954999999999999,0.0540425452156611,0.026,0.794,0.046,0.11505000000000001,0.18502999999999997,0.053,0.0
srv03,st01,100pct,2,500,0.049763999999999996,0.020634531052182575,0.028,0.192,0.043,0.092,0.13007999999999992,0.02,0.0
srv03,st01,100pct,3,500,0.053821999999999995,0.024113590493598958,0.028,0.313,0.046,0.09705000000000001,0.13101,0.024,0.0
srv03,st02,idle,1,500,0.044016,0.008196469253064569,0.028,0.132,0.044,0.055,0.063,0.008,0.0
srv03,st02,idle,2,500,0.05182,0.012846854999054571,0.029,0.132,0.052,0.071,0.07903999999999997,0.012,0.0
srv03,st02,idle,3,500,0.053328,0.014493327052754872,0.027,0.257,0.053,0.069,0.09101999999999998,0.014,0.0
srv03,st02,50pct,1,500,0.04811599999999999,0.020661857823958497,0.025,0.233,0.043,0.085,0.12311999999999988,0.02,0.0
srv03,st02,50pct,2,500,0.043887999999999996,0.01709678496420378,0.027,0.192,0.039,0.07405,0.10304999999999995,0.017,0.0
srv03,st02,50pct,3,500,0.03812800000000001,0.01194575313808519,0.027,0.164,0.035,0.056,0.08900999999999998,0.011,0.0
srv03,st02,100pct,1,500,0.06114399999999999,0.03911407785148903,0.031,0.495,0.051,0.10905000000000001,0.22038999999999964,0.039,0.0
